tissue	assay	species	filename	original
Posterior_ventral_phox2bb	ATAC	danio_rerio	GSE243256_hpf20_Posterior_ventral_phox2bb.narrow_peak.gz	GSE243256_hpf20_Posterior_ventral_phox2bb.narrow_peak.gz
Olfactory_placode	ATAC	danio_rerio	GSE243256_hpf30_Olfactory_placode.narrow_peak.gz	GSE243256_hpf30_Olfactory_placode.narrow_peak.gz
YSL	ATAC	danio_rerio	GSE243256_hpf72_YSL.narrow_peak.gz	GSE243256_hpf72_YSL.narrow_peak.gz
Telencephalon	ATAC	danio_rerio	GSE243256_hpf48_Telencephalon.narrow_peak.gz	GSE243256_hpf48_Telencephalon.narrow_peak.gz
Epidermal	ATAC	danio_rerio	GSE243256_hpf42_Epidermal.narrow_peak.gz	GSE243256_hpf42_Epidermal.narrow_peak.gz
Erythroid	ATAC	danio_rerio	GSE243256_hpf24_Erythroid.narrow_peak.gz	GSE243256_hpf24_Erythroid.narrow_peak.gz
Pectoral_fin_field	ATAC	danio_rerio	GSE243256_hpf72_Pectoral_fin_field.narrow_peak.gz	GSE243256_hpf72_Pectoral_fin_field.narrow_peak.gz
Slow_muscle_cells	ATAC	danio_rerio	GSE243256_hpf30_Slow_muscle_cells.narrow_peak.gz	GSE243256_hpf30_Slow_muscle_cells.narrow_peak.gz
YSL	ATAC	danio_rerio	GSE243256_hpf11_YSL.narrow_peak.gz	GSE243256_hpf11_YSL.narrow_peak.gz
Neural_crest	ATAC	danio_rerio	GSE243256_hpf34_Neural_crest.narrow_peak.gz	GSE243256_hpf34_Neural_crest.narrow_peak.gz
Neural_crest	ATAC	danio_rerio	GSE243256_hpf11_Neural_crest.narrow_peak.gz	GSE243256_hpf11_Neural_crest.narrow_peak.gz
Fast_muscle_cells	ATAC	danio_rerio	GSE243256_hpf34_Fast_muscle_cells.narrow_peak.gz	GSE243256_hpf34_Fast_muscle_cells.narrow_peak.gz
Notochord	ATAC	danio_rerio	GSE243256_hpf12_Notochord.narrow_peak.gz	GSE243256_hpf12_Notochord.narrow_peak.gz
Myoblast	ATAC	danio_rerio	GSE243256_hpf34_Myoblast.narrow_peak.gz	GSE243256_hpf34_Myoblast.narrow_peak.gz
Diencephalon	ATAC	danio_rerio	GSE243256_hpf18_Diencephalon.narrow_peak.gz	GSE243256_hpf18_Diencephalon.narrow_peak.gz
Periderm	ATAC	danio_rerio	GSE243256_hpf24_Periderm.narrow_peak.gz	GSE243256_hpf24_Periderm.narrow_peak.gz
Tailbud_spinal_cord	ATAC	danio_rerio	GSE243256_hpf42_Tailbud_spinal_cord.narrow_peak.gz	GSE243256_hpf42_Tailbud_spinal_cord.narrow_peak.gz
Periderm	ATAC	danio_rerio	GSE243256_hpf20_Periderm.narrow_peak.gz	GSE243256_hpf20_Periderm.narrow_peak.gz
Hatching_gland	ATAC	danio_rerio	GSE243256_hpf11_Hatching_gland.narrow_peak.gz	GSE243256_hpf11_Hatching_gland.narrow_peak.gz
Hindbrain_dorsal	ATAC	danio_rerio	GSE243256_hpf30_Hindbrain_dorsal.narrow_peak.gz	GSE243256_hpf30_Hindbrain_dorsal.narrow_peak.gz
Olfactory_placode	ATAC	danio_rerio	GSE243256_hpf48_Olfactory_placode.narrow_peak.gz	GSE243256_hpf48_Olfactory_placode.narrow_peak.gz
Floorplate	ATAC	danio_rerio	GSE243256_hpf42_Floorplate.narrow_peak.gz	GSE243256_hpf42_Floorplate.narrow_peak.gz
Differentiating_neurons_eomes	ATAC	danio_rerio	GSE243256_hpf38_Differentiating_neurons_eomes.narrow_peak.gz	GSE243256_hpf38_Differentiating_neurons_eomes.narrow_peak.gz
Gut	ATAC	danio_rerio	GSE243256_hpf14_Gut.narrow_peak.gz	GSE243256_hpf14_Gut.narrow_peak.gz
Differentiating_neurons	ATAC	danio_rerio	GSE243256_hpf34_Differentiating_neurons.narrow_peak.gz	GSE243256_hpf34_Differentiating_neurons.narrow_peak.gz
Hindbrain_dorsal	ATAC	danio_rerio	GSE243256_hpf72_Hindbrain_dorsal.narrow_peak.gz	GSE243256_hpf72_Hindbrain_dorsal.narrow_peak.gz
Differentiating_neurons_dlx1a	ATAC	danio_rerio	GSE243256_hpf72_Differentiating_neurons_dlx1a.narrow_peak.gz	GSE243256_hpf72_Differentiating_neurons_dlx1a.narrow_peak.gz
Epidermal_foxi3a	ATAC	danio_rerio	GSE243256_hpf30_Epidermal_foxi3a.narrow_peak.gz	GSE243256_hpf30_Epidermal_foxi3a.narrow_peak.gz
Prechordal_plate	ATAC	danio_rerio	GSE243256_hpf7_Prechordal_plate.narrow_peak.gz	GSE243256_hpf7_Prechordal_plate.narrow_peak.gz
Neural_crest	ATAC	danio_rerio	GSE243256_hpf38_Neural_crest.narrow_peak.gz	GSE243256_hpf38_Neural_crest.narrow_peak.gz
Optic_cup	ATAC	danio_rerio	GSE243256_hpf24_Optic_cup.narrow_peak.gz	GSE243256_hpf24_Optic_cup.narrow_peak.gz
Pigment_cells	ATAC	danio_rerio	GSE243256_hpf48_Pigment_cells.narrow_peak.gz	GSE243256_hpf48_Pigment_cells.narrow_peak.gz
Margin	ATAC	danio_rerio	GSE243256_hpf5_Margin.narrow_peak.gz	GSE243256_hpf5_Margin.narrow_peak.gz
Mesoderm_adaxial_cells	ATAC	danio_rerio	GSE243256_hpf8_Mesoderm_adaxial_cells.narrow_peak.gz	GSE243256_hpf8_Mesoderm_adaxial_cells.narrow_peak.gz
Pharyngeal_arch	ATAC	danio_rerio	GSE243256_hpf72_Pharyngeal_arch.narrow_peak.gz	GSE243256_hpf72_Pharyngeal_arch.narrow_peak.gz
YSL	ATAC	danio_rerio	GSE243256_hpf24_YSL.narrow_peak.gz	GSE243256_hpf24_YSL.narrow_peak.gz
Retina_neuroblasts	ATAC	danio_rerio	GSE243256_hpf42_Retina_neuroblasts.narrow_peak.gz	GSE243256_hpf42_Retina_neuroblasts.narrow_peak.gz
Sclerotome	ATAC	danio_rerio	GSE243256_hpf72_Sclerotome.narrow_peak.gz	GSE243256_hpf72_Sclerotome.narrow_peak.gz
