tissue	assay	species	filename	original
Eye_Primary_1:Eye	ATAC	homo_sapiens	Eye_Primary_1_ATAC.bed.gz	ENCFF397EAF,ENCFF752YQK,ENCFF676HPQ
Eye_Primary_2:Retina	ATAC	homo_sapiens	Eye_Primary_2_ATAC.bed.gz	ENCFF233RCD,ENCFF820TOX,ENCFF163TAC,ENCFF429VRT,ENCFF762IOK
Eye_Primary_3:Epithelial	ATAC	homo_sapiens	Eye_Primary_3_ATAC.bed.gz	ENCFF214FPC,ENCFF094NXU
Eye_Primary_4:Conjunctival,Pigment,Ciliary,Fibroblasts,Retinal,NonPigment,Epithelial	ATAC	homo_sapiens	Eye_Primary_4_ATAC.bed.gz	ENCFF506EGS,ENCFF786AVT,ENCFF308WRX,ENCFF668KSI,ENCFF982WYM,ENCFF940FXR,ENCFF783NRG,ENCFF710TOA
Germ_Cancer_1:line,testicular,embryonal	ATAC	homo_sapiens	Germ_Cancer_1_ATAC.bed.gz	ENCFF963LPR,ENCFF721OSU
Germ_Lines_1:line,fully,hematopoietic,derived,reprogrammed,iPS	ATAC	homo_sapiens	Germ_Lines_1_ATAC.bed.gz	ENCFF919CGO,ENCFF710HJC
Germ_Lines_2:pluripotent,Induced,stem	ATAC	homo_sapiens	Germ_Lines_2_ATAC.bed.gz	ENCFF602RAY,ENCFF925KXX,ENCFF288JLF,ENCFF516BXE,ENCFF025AXV,ENCFF871HZZ,ENCFF720MUB,ENCFF104RTP
Germ_Lines_3:hH1polyMSC	ATAC	homo_sapiens	Germ_Lines_3_ATAC.bed.gz	ENCFF905MSZ
Germ_Lines_4:Mesendoderm,H7,embryonic,stem	ATAC	homo_sapiens	Germ_Lines_4_ATAC.bed.gz	ENCFF149WHX,ENCFF049BDO
Germ_Lines_5:H9,ESC,differentiated,embryonic,stem	ATAC	homo_sapiens	Germ_Lines_5_ATAC.bed.gz	ENCFF649YWV,ENCFF107ABM,ENCFF323YYD,ENCFF923EPI
Germ_Lines_6:ELF1,hESC	ATAC	homo_sapiens	Germ_Lines_6_ATAC.bed.gz	ENCFF126MPR
Germ_Lines_7:pluripotent,Induced	ATAC	homo_sapiens	Germ_Lines_7_ATAC.bed.gz	ENCFF064OFM,ENCFF059ORV
Germ_Lines_8:H9,FUCCI,differentiated,AzLSphase,neuronal,derived,G1,cycle	ATAC	homo_sapiens	Germ_Lines_8_ATAC.bed.gz	ENCFF813PFU,ENCFF158SJX,ENCFF477WJF,ENCFF598TDK,ENCFF219HSW,ENCFF629YYH,ENCFF085ZKY,ENCFF245FDV
Germ_Lines_9:H9,Definitive,ESC,differentiated,Endoderm,2	ATAC	homo_sapiens	Germ_Lines_9_ATAC.bed.gz	ENCFF736FQW
Gonad_Primary_1:Testes	ATAC	homo_sapiens	Gonad_Primary_1_ATAC.bed.gz	ENCFF335MSP,ENCFF537ICV,ENCFF875DXE
Gum_Primary_1:Gingival,Fibroblasts,fibroblast,Gum	ATAC	homo_sapiens	Gum_Primary_1_ATAC.bed.gz	ENCFF445CFA,ENCFF163DTU,ENCFF898JHA,ENCFF821HNG
Heart_Lines_1:H7,cardiomyocytes,differentiated,day,stem,14,embryonic,differentiation,5	ATAC	homo_sapiens	Heart_Lines_1_ATAC.bed.gz	ENCFF575JJO,ENCFF358BDI,ENCFF936NEG,ENCFF365ZBD,ENCFF702BMY,ENCFF308HXY,ENCFF122QQV,ENCFF952YYO
Heart_Primary_1:Fibroblasts,Cardiac	ATAC	homo_sapiens	Heart_Primary_1_ATAC.bed.gz	ENCFF511VUS,ENCFF975KHQ,ENCFF116HHZ,ENCFF300XHF,ENCFF409ZKB
Heart_Primary_2:Fibroblasts,Cardiac	ATAC	homo_sapiens	Heart_Primary_2_ATAC.bed.gz	ENCFF996CVV,ENCFF853CZA,ENCFF116SPE,ENCFF492LTX,ENCFF055JTD
Heart_Primary_3:Heart	ATAC	homo_sapiens	Heart_Primary_3_ATAC.bed.gz	ENCFF458MMZ,ENCFF583OOQ,ENCFF918JFM,ENCFF846WVW,ENCFF082LEM,ENCFF406QKD,ENCFF966CRZ,ENCFF598EMP,ENCFF090RTB,ENCFF029IFI
Heart_Primary_4:Heart,Ventricle,Left	ATAC	homo_sapiens	Heart_Primary_4_ATAC.bed.gz	ENCFF013DGQ,ENCFF290HBO,ENCFF671RCF,ENCFF556QPR,ENCFF646JAC,ENCFF981VXY,ENCFF741AUL,ENCFF957QNS,ENCFF743DVR
Heart_Primary_5:Heart	ATAC	homo_sapiens	Heart_Primary_5_ATAC.bed.gz	ENCFF289XIG,ENCFF895OKU,ENCFF847HHN,ENCFF796OYX,ENCFF571JDP
Kidney_Cancer_1:renalcellcarcinoma,culture,HIM13,PCT,primary	ATAC	homo_sapiens	Kidney_Cancer_1_ATAC.bed.gz	ENCFF132EPS,ENCFF149GLG
Kidney_Cancer_2:kidney,Adharent,rhabdoid,tumor	ATAC	homo_sapiens	Kidney_Cancer_2_ATAC.bed.gz	ENCFF470DUJ,ENCFF970YXD
Kidney_Cancer_3:clear,adherent,kidney,Adherent,renal,adenocarcinoma,Renal,Carcinoma	ATAC	homo_sapiens	Kidney_Cancer_3_ATAC.bed.gz	ENCFF546ZKJ,ENCFF014URY,ENCFF203ABD,ENCFF644YLA,ENCFF111NQA,ENCFF993MWP,ENCFF905FPN,ENCFF479YRP
Kidney_Lines_1:kidney,epithelial	ATAC	homo_sapiens	Kidney_Lines_1_ATAC.bed.gz	ENCFF834RFS,ENCFF622TAD
Kidney_Primary_1:Tubule,normal,renal,Proximal,Renal,epithelial	ATAC	homo_sapiens	Kidney_Primary_1_ATAC.bed.gz	ENCFF597DWR,ENCFF136ZDO,ENCFF650CGG,ENCFF609GHH,ENCFF877GQV,ENCFF081WQF
Kidney_Primary_2:Kidneyrenalpelvis,fKidneyR,Kidney,kidney,Kidneyrenalcortex,fKidney,fKidneyL	ATAC	homo_sapiens	Kidney_Primary_2_ATAC.bed.gz	ENCFF226XRC,ENCFF434WFB,ENCFF131TMN,ENCFF194EXA,ENCFF957JIY,ENCFF292VWM,ENCFF847WYF,ENCFF555JNA,ENCFF129OCO,ENCFF314TBM,ENCFF998ZJT,ENCFF473XKD,ENCFF697IKO,ENCFF665EOG,ENCFF946POJ,ENCFF704UAL,ENCFF300WFS,ENCFF950VYF,ENCFF579HCT,ENCFF166QDD,ENCFF987PIZ,ENCFF760XWX,ENCFF580YDO,ENCFF633IIO,ENCFF555RFD,ENCFF849DCB,ENCFF187MJI,ENCFF828LIR,ENCFF126ZGZ,ENCFF364SSL,ENCFF117WPX,ENCFF522WCI,ENCFF737SCT,ENCFF500GZK,ENCFF734VEQ,ENCFF713EEU,ENCFF299DGG,ENCFF982NGR,ENCFF621IFW,ENCFF767XZT,ENCFF480CYL
Kidney_Primary_3:Kidney,Glomerular,Endothelial,fKidney,Renal	ATAC	homo_sapiens	Kidney_Primary_3_ATAC.bed.gz	ENCFF914GHI,ENCFF745WQP,ENCFF397XMM,ENCFF021OVF,ENCFF393JJE,ENCFF531IKO,ENCFF412YBW,ENCFF527MRJ,ENCFF267BDV,ENCFF260BTA,ENCFF953BKE,ENCFF651PYP,ENCFF850SYC,ENCFF966BXL,ENCFF453VDS,ENCFF513CLH,ENCFF607CZW,ENCFF282TQC,ENCFF735LMT,ENCFF797ESY,ENCFF923XHZ,ENCFF863TYO,ENCFF951BPK,ENCFF705ISZ,ENCFF214ZXK
Kidney_Primary_4:kidney,epithelial,renal,tubular	ATAC	homo_sapiens	Kidney_Primary_4_ATAC.bed.gz	ENCFF543ETS,ENCFF088CCJ,ENCFF131KTO,ENCFF666RJD,ENCFF947EZI,ENCFF258GRH
Kidney_Primary_5:Kidney,fKidney	ATAC	homo_sapiens	Kidney_Primary_5_ATAC.bed.gz	ENCFF683OCG,ENCFF467HBA,ENCFF347BDO,ENCFF391NDI
